Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
8441923905,"Jan 24, 2023, 2:31:36 AM",Night Run,Run,first post workout,1730,3.22,,,false,,,activities/8441923905.gpx,,,1730.0,956.0,3219.2,6.558,3.367,45.4,45.3,261.4,289.8,47.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3346.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.861,41.9,,,,,,,,,,,,,,,,,,,""
8709232699,"Mar 13, 2023, 7:12:01 PM",Afternoon Run,Run,,2457,5.09,,,false,,,activities/8709232699.gpx,,,2457.0,1487.0,5093.7,5.838,3.426,80.1,79.8,36.1,74.4,47.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5321.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.073,0.0,,,,3782.0,,,,,,,,,,,,,,,""
8720166233,"Mar 15, 2023, 6:55:45 PM",pushing out the lactic,Run,powered by saint tropes by post malone,848,1.89,,,false,,,activities/8720166233.gpx,,,848.0,578.0,1892.4,5.708,3.274,22.4,31.3,34.5,61.3,28.2,-0.5,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,15.0,0.0,,1.0,1937.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.232,73.9,,,,1424.0,,,,,,,,,,,,,,,""
8814504989,"Apr 1, 2023, 4:53:12 PM",Lunch Run,Run,,140,0.42,,,false,,,activities/8814504989.gpx,,,140.0,119.0,428.6,6.936,3.601,0.0,1.9,260.4,263.3,1.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,426.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.061,0.0,,,,304.0,,,,,,,,,,,,,,,""
9101288030,"May 19, 2023, 4:07:24 PM",it’s been too long,Run,"however long that circuit was, truly was the worst run i have been on
but we have to restart somewhere",2224,4.17,,,false,,,activities/9101288030.gpx,,,2224.0,1284.0,4171.7,4.83,3.249,55.1,63.6,27.4,61.3,26.0,-0.2,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,55.0,0.0,,1.0,4273.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.876,326.6,,,,3294.0,,,,,,,,,,,,,,,""
9113854468,"May 21, 2023, 2:40:03 PM",recovery week 08 ,Run,"start of the 10k training
let’s see how far we get",1748,4.49,,,false,,Brooks Ghost 14 10k ghosties,activities/9113854468.gpx,,,1748.0,1414.0,4492.9,6.156,3.177,53.7,53.8,27.4,50.9,10.8,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,37.0,0.0,,1.0,4583.2,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.57,212.6,,,,3666.0,,,,,,,,,,,,,,,""
9125220784,"May 23, 2023, 12:45:17 PM",long run week 08,Run,"i have no idea how i did that
sub 730 mile to start, 8 min, 745, and then 830 to finish off 1.5 miles",3258,7.46,,,false,,Brooks Ghost 14 10k ghosties,activities/9125220784.gpx,,,3258.0,2242.0,7460.2,8.884,3.327,87.8,89.0,27.4,76.7,47.8,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,40.0,0.0,,1.0,7640.8,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.29,196.0,,,,5764.0,,,,,,,,,,,,,,,""
9137986016,"May 25, 2023, 1:11:35 PM",Loss Week 08,Run,"Was supposed to do tempos but played basketball yesterday and died. Tried to do a time run, at least i did it which i’m happy ab.",2047,4.45,,,false,,Brooks Ghost 14 10k ghosties,activities/9137986016.gpx,,,2047.0,1463.0,4452.4,5.364,3.043,53.3,53.5,42.4,90.3,43.0,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,46.0,0.0,,1.0,4542.5,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.175,0.0,,,,3812.0,,,,,,,,,,,,,,,""
9152799405,"May 27, 2023, 3:12:27 PM",Lunch Run,Run,,1622,3.24,,,false,,Brooks Ghost 14 10k ghosties,activities/9152799405.gpx,,,1622.0,957.0,3241.2,6.495,3.387,47.7,42.0,27.4,50.9,42.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3369.6,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,1.998,99.4,,,,2428.0,,,,,,,,,,,,,,,""
9179113905,"May 31, 2023, 10:50:24 PM",post vacation run,Run,my calves were dying on the uphills but an enjoyable experience,3142,6.91,,,false,,Brooks Ghost 14 10k ghosties,activities/9179113905.gpx,,,3142.0,2178.0,6912.6,6.382,3.174,79.9,80.8,27.4,76.6,41.7,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,57.0,0.0,,1.0,7095.7,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.2,189.7,,,,5604.0,,,,,,,,,,,,,,,""
9196729968,"Jun 3, 2023, 4:22:18 PM",post leg day run week07,Run,"i could feel my butt when i was running, just trying to maintain less than 830 to push out the lactic acid without dying

look out for tempo run on monday",12056,5.21,,,false,,Brooks Ghost 14 10k ghosties,activities/9196729968.gpx,,,12056.0,1654.0,5211.7,5.666,3.151,97.0,96.6,34.5,61.3,14.9,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,43.0,0.0,,1.0,5378.7,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,0.432,173.3,,,,4268.0,,,,,,,,,,,,,,,""
9207255900,"Jun 5, 2023, 1:04:23 PM",TEMPO RUN IN THE RAIN WEEK 7,Run,"pretty fun run in the rain but an old guy in all black lapped me when i chose to die on the side of the road

closed it off with a nice recovery

i know i’m supposed to be going a bit faster so next time i’m prob gonna go on a flatter surface",2391,4.70,,,false,,Brooks Ghost 14 10k ghosties,activities/9207255900.gpx,,,2391.0,1461.0,4708.7,5.576,3.223,56.5,56.2,42.0,80.1,36.6,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,38.0,0.0,,1.0,4822.2,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,1.969,0.0,,,,3792.0,,,,,,,,,,,,,,,""
9223096060,"Jun 7, 2023, 9:49:21 PM",NOW THAT IS A TEMPO,Run,"i think i gotta eat before i run
but my heart rate reached 187 soemthing so i felt like dying",3052,6.37,,,false,,Brooks Ghost 14 10k ghosties,activities/9223096060.gpx,,,3052.0,1775.0,6372.5,6.228,3.59,91.9,91.5,27.4,61.3,36.8,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,76.0,0.0,,1.0,6564.0,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.088,475.1,,,,4662.0,,,,,,,,,,,,,,,""
9241340825,"Jun 10, 2023, 3:13:55 PM",forgot to post in the morning,Run,"post leg day, chill easy run vibes",10358,5.01,,,false,,Brooks Ghost 14 10k ghosties,activities/9241340825.gpx,,,10358.0,1518.0,5012.4,6.204,3.302,71.4,72.2,27.7,61.3,31.9,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,12.0,0.0,,1.0,5145.1,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,0.484,336.7,,,,3876.0,,,,,,,,,,,,,,,""
9250991330,"Jun 11, 2023, 9:33:59 PM",HIIT TRAINING,Run,"",2469,5.15,,,false,,Brooks Ghost 14 10k ghosties,activities/9250991330.gpx,,,2469.0,1513.0,5153.0,5.818,3.406,71.0,71.6,27.4,61.3,35.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5311.7,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,2.087,387.4,,,,3908.0,,,,,,,,,,,,,,,""
9285107624,"Jun 15, 2023, 9:53:27 PM",this was yesterday,Run,"the pacing was a lie, it delayed i was literally doing 803",170993,7.41,,,false,,Brooks Ghost 14 10k ghosties,activities/9285107624.gpx,,,170993.0,2393.0,7414.8,6.304,3.099,95.6,96.9,34.6,79.7,45.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7608.5,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,0.043,156.5,,,,5748.0,,,,,,,,,,,,,,,""
