Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
14564096094,"May 22, 2025, 7:08:44 PM",Afternoon Run,Run,"",2235,6.69,,,false,,,activities/14564096094.gpx,,,2235.0,2041.0,6698.9,4.98,3.282,32.1,32.1,21.0,42.3,6.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6733.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.997,0.0,,,,6354.0,,,,,3.299,,,,,,,,,,""
14573148779,"May 23, 2025, 7:00:46 PM",Afternoon Run,Run,"",2132,6.46,,,false,,,activities/14573148779.gpx,,,2132.0,1975.0,6461.2,4.78,3.271,31.2,31.2,39.7,48.0,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6497.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.031,73.5,,,,6172.0,,,,,3.29,,,,,,,,,,""
14579501427,"May 24, 2025, 11:59:53 AM",Morning Run,Run,"",2142,6.47,,,false,,,activities/14579501427.gpx,,,2142.0,2029.0,6469.1,4.22,3.188,28.2,28.2,24.4,42.3,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6498.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.02,0.0,,,,6422.0,,,,,3.203,,,,,,,,,,""
14610898057,"May 27, 2025, 2:15:23 PM",Morning Run,Run,There are too many hills here,1869,6.45,,,false,,,activities/14610898057.gpx,,,1869.0,1832.0,6451.3,4.98,3.521,52.9,52.8,20.6,39.7,10.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6534.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.452,568.6,,,,5778.0,,,,,3.567,,,,,,,,,,""
14620800955,"May 28, 2025, 1:12:09 PM",Morning Run,Run,HOT 🥵☀️,1948,6.44,,,false,,,activities/14620800955.gpx,,,1948.0,1948.0,6445.2,4.66,3.309,50.6,50.5,21.7,40.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6519.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.309,0.0,,,,6146.0,,,,,3.347,,,,,,,,,,""
14642286289,"May 30, 2025, 2:43:20 PM",Lunch Run,Run,Ngl I paused it to walk up the last hill,1969,6.61,,,false,,,activities/14642286289.gpx,,,1969.0,1862.0,6612.8,4.92,3.551,37.0,43.4,21.7,39.7,8.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6656.5,1748613632.0,3.0,20.5,18.8,15.3,0.72,1005.5,3.4,7.4,228.0,0.0,1748596224.0,1748650496.0,0.125,,,0.41,5.0,1.0,22284.0,3.0,,,,,0.0,3.358,0.0,,,,5904.0,,,,,3.575,,,,,,,,,,""
14664991554,"Jun 1, 2025, 3:59:13 PM",Lunch Run,Run,This was fun but I was so hungry during it,3287,9.75,,,false,,,activities/14664991554.gpx,,,3287.0,2831.0,9754.1,4.72,3.445,45.2,45.1,21.0,42.3,9.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9806.6,1748790016.0,3.0,13.1,8.3,6.4,0.64,1004.6,4.8,8.7,279.0,0.0,1748769536.0,1748823552.0,0.125,,,0.0,1.0,1.0,29592.0,4.0,,,,,0.0,2.967,0.0,,,,8908.0,,,,,3.464,,,,,,,,,,""
14671004742,"Jun 2, 2025, 10:21:56 AM",Morning Run,Run,"",2063,6.47,,,false,,,activities/14671004742.gpx,,,2063.0,1934.0,6470.9,5.25,3.346,29.3,29.4,24.4,42.3,5.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6500.6,1748858368.0,1.0,8.8,8.7,6.1,0.83,1013.3,1.7,2.5,207.0,0.0,1748855936.0,1748910080.0,0.125,,,0.0,1.0,0.3,19578.0,0.0,,,,,0.0,3.137,0.0,,,,6096.0,,,,,3.361,,,,,,,,,,""
14681319870,"Jun 3, 2025, 10:16:45 AM",Morning Run,Run,The uv is gonna be 9 today 👀,1468,4.83,,,false,,,activities/14681319870.gpx,,,1468.0,1393.0,4829.8,4.92,3.467,23.0,23.6,24.4,42.3,7.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4857.4,1748944768.0,1.0,9.4,10.5,6.1,0.8,1019.5,0.7,2.1,338.0,0.0,1748942208.0,1748996480.0,0.25,,,0.0,1.0,0.05,22991.0,0.0,,,,,0.0,3.29,0.0,,,,4436.0,,,,,3.487,,,,,,,,,,""
14708295701,"Jun 5, 2025, 8:15:03 PM",Afternoon Run,Run,Plus 0.5 cuz I forgot to start it lol,1958,5.79,,,false,,,activities/14708295701.gpx,,,1958.0,1662.0,5792.3,5.0,3.485,30.5,18.3,24.4,42.3,8.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5846.2,1749153536.0,2.0,32.3,33.2,19.2,0.46,1013.5,3.3,5.1,231.0,0.0,1749115008.0,1749169408.0,0.375,,,0.48,5.0,0.4,41451.0,5.0,,,,,0.0,2.958,0.0,,,,5256.0,,,,,3.518,,,,,,,,,,""
14724742434,"Jun 7, 2025, 1:56:19 PM",Morning Run,Run,Longest run in awhile 👀,3624,11.27,,,false,,,activities/14724742434.gpx,,,3624.0,3483.0,11269.7,4.86,3.236,87.7,87.8,21.7,40.1,36.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,11414.7,1749301248.0,3.0,20.5,20.7,18.4,0.88,1009.5,1.6,2.8,158.0,0.1,1749287168.0,1749341952.0,0.375,,,0.9,5.0,1.0,13188.0,3.0,,,,,0.0,3.11,0.0,,,,10950.0,,,,,3.277,,,,,,,,,,""
14735524622,"Jun 8, 2025, 2:43:32 PM",Lunch Run,Run,Thinkin abt ma girls [strava://athletes/52173928/14]Emily Phillips [strava://athletes/68893601/23]Claudia Larissa Salgado [strava://athletes/36237560/14]steph rathkamp [strava://athletes/99360068/14]Callie Fadness,1973,6.44,,,false,,,activities/14735524622.gpx,,,1973.0,1927.0,6442.5,6.74,3.343,49.2,49.3,21.7,40.1,10.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6518.8,1749391232.0,3.0,20.5,19.7,15.3,0.72,1011.9,3.2,6.3,48.0,0.0,1749373568.0,1749428480.0,0.375,,,0.0,1.0,0.73,24177.0,5.0,,,,,0.0,3.265,0.0,,,,6074.0,,,,,3.383,,,,,,,,,,""
14748603031,"Jun 9, 2025, 8:17:21 PM",Afternoon Run,Run,Squirrels are actually scary,1570,4.84,,,false,,,activities/14748603031.gpx,,,1570.0,1413.0,4846.0,4.98,3.43,23.9,23.9,24.4,42.3,7.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4871.2,1749499136.0,3.0,20.0,19.1,16.1,0.78,1012.8,2.7,6.2,123.0,0.0,1749460608.0,1749515136.0,0.375,,,0.6,5.0,0.97,18174.0,3.0,,,,,0.0,3.087,0.0,,,,4404.0,,,,,3.447,,,,,,,,,,""
14764097730,"Jun 11, 2025, 10:01:13 AM",Morning Run,Run,"",1996,6.46,,,false,,,activities/14764097730.gpx,,,1996.0,1933.0,6459.7,4.74,3.342,28.9,29.0,24.4,42.3,7.2,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,1.0,6490.1,1749635968.0,1.0,14.7,15.9,13.8,0.94,1016.6,0.8,1.4,188.0,0.0,1749633408.0,1749687936.0,0.5,,,0.0,1.0,0.22,14951.0,0.0,,,,,0.0,3.236,0.0,,,,5988.0,,,,,3.358,,,,,,,,,,""
14786656942,"Jun 13, 2025, 12:47:03 PM",Morning Run,Run,"",2715,8.10,,,false,,,activities/14786656942.gpx,,,2715.0,2509.0,8107.6,6.95,3.231,38.8,38.7,24.4,42.3,7.3,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,1.0,8151.4,1749816064.0,3.0,18.8,17.5,11.9,0.64,1020.0,2.4,4.1,5.0,0.0,1749806080.0,1749860864.0,0.625,,,0.0,1.0,1.0,30290.0,1.0,,,,,0.0,2.986,0.0,,,,7784.0,,,,,3.249,,,,,,,,,,""
14800750167,"Jun 14, 2025, 9:06:22 PM",Afternoon Run,Run,This is legit another up north Wisconsin I’m convinced,1822,6.44,,,false,,,activities/14800750167.gpx,,,1822.0,1822.0,6441.9,5.78,3.536,43.3,43.4,21.7,40.1,8.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6503.8,1749934848.0,3.0,16.2,14.2,11.5,0.74,1020.8,2.8,5.3,69.0,0.0,1749891968.0,1749947008.0,0.625,,,0.83,5.0,1.0,21613.0,2.0,,,,,0.0,3.536,0.0,,,,5758.0,,,,,3.57,,,,,,,,,,""
